Fund,Expense ratio,Tracking Error,AUM,1yr Annualized Return,2yr Annualized Return,3yr Annualized Return,5yr Annualized Return,10 yr Annualized Return
Aditya Birla Sun Life Nifty 50 Index Fund,0.2,0.06,966.94,25.67,19.07,13.73,18.51,12.43
Axis Nifty 50 Index Fund,0.13,0.1,505.83,25.61,19.12,,,
Bandhan Nifty 50 Index Fund,0.1,0.08,1388.49,25.68,19.18,13.91,18.88,13
DSP Nifty 50 Index Fund,0.18,0.07,606.61,25.69,19.13,13.79,18.56,
Franklin India NSE Nifty 50 Index,0.24,0.25,697.77,25.54,18.97,13.68,18.39,12.53
HDFC Index Fund Nifty 50 Plan,0.2,0.05,"17,228.80",25.63,19.12,13.78,18.61,12.91
HSBC Nifty 50 Index Fund,0.2,0.12,282.72,25.7,19.09,13.83,,
ICICI Prudential Nifty 50 Index Fund,0.17,0.04,"11,136.04",25.61,19.1,13.78,18.69,12.81
Kotak Nifty 50 Index Fund,0.15,0.1,724.21,25.54,19.01,13.73,,
Motilal Oswal Nifty 50 Index Fund,0.15,0.04,553.73,25.76,19.19,13.86,,
Navi Nifty 50 Index Fund,0.06,0.04,"2,313.64",25.69,19.18,13.83,,
Nippon India Index Nifty 50,0.2,0.05,"1,848.13",25.61,19.09,13.78,18.63,12.75
SBI Nifty Index Fund,0.2,0.02,"8,205.66",25.7,19.15,13.82,18.54,12.72
Tata BSE Sensex Index Fund,0.27,0.09,363.9,22.46,17.75,12.81,17.77,12.54
Tata Nifty 50 Index Fund,0.2,0.08,859.62,25.61,19.1,13.82,18.63,12.8
UTI Nifty 50 Index Fund,0.18,0.03,"19,196.67",25.68,19.15,13.82,18.7,12.96
Axis Nifty 100 Index Fund,0.21,0.08,1617.27,30.98,20.32,14.74,,
HDFC Nifty 100 Index Fund,0.3,0.07,218.47,30.81,20.12,,,
HDFC Index Fund - BSE Sensex Plan,0.2,0.05,"7,490.78",22.54,17.88,12.92,17.94,12.77
ICICI Prudential BSE Sensex Index Fund,0.19,0.06,"1,688.19",22.58,17.86,12.89,18.05,
Nippon India Index BSE Sensex,0.2,0.06,739.91,22.52,17.91,12.97,18.03,12.58