Fund,Expense ratio,Tracking Error,AUM,1yr Annualized Return,2yr Annualized Return,3yr Annualized Return,5yr Annualized Return
Aditya Birla Sun Life Nifty Next 50 Index Fund,0.33,0.12,168.76,59.69,29.82,,
Axis Nifty Next 50 Index Fund,0.24,0.23,268.93,59.42,29.91,,
DSP Nifty Next 50 Index Fund,0.28,0.12,746.02,59.84,30.14,20.86,23.47
HDFC NIFTY Next 50 Index Fund,0.3,0.12,"1,638.42",59.44,29.76,,
HSBC Nifty Next 50 Index Fund,0.35,0.09,130.54,59.49,29.77,20.46,
ICICI Prudential Nifty Next 50 Index Fund,0.31,0.09,"6,598.79",59.82,30,20.72,23.38
Kotak Nifty Next 50 Index Fund,0.33,0.12,320.11,59.69,30.21,20.98,
Motilal Oswal Nifty Next 50 Index Fund,0.35,0.09,278.91,59.74,30.09,20.76,
Navi Nifty Next 50 Index Fund,0.12,0.26,574.78,59.45,29.97,,
SBI Nifty Next 50 Index Fund,0.33,0.05,"1,242.71",59.87,30.03,20.77,
UTI Nifty Next 50 Index Fund,0.37,0.06,"4,618.94",59.82,29.99,20.72,23.59